date,price,ticker
6/14/2023 0:00,124.38,GOOG
6/13/2023 0:00,124.43,GOOG
6/12/2023 0:00,124.35,GOOG
6/9/2023 0:00,122.87,GOOG
6/8/2023 0:00,122.67,GOOG
6/7/2023 0:00,122.94,GOOG
6/6/2023 0:00,127.91,GOOG
6/5/2023 0:00,126.63,GOOG
6/2/2023 0:00,125.23,GOOG
6/1/2023 0:00,124.37,GOOG
5/31/2023 0:00,123.37,GOOG
5/30/2023 0:00,124.64,GOOG
5/26/2023 0:00,125.43,GOOG
5/25/2023 0:00,124.35,GOOG
5/24/2023 0:00,121.64,GOOG
5/23/2023 0:00,123.29,GOOG
5/22/2023 0:00,125.87,GOOG
5/19/2023 0:00,123.25,GOOG
5/18/2023 0:00,123.52,GOOG
5/17/2023 0:00,121.48,GOOG
5/16/2023 0:00,120.09,GOOG
5/15/2023 0:00,116.96,GOOG
5/12/2023 0:00,117.92,GOOG
5/11/2023 0:00,116.9,GOOG
5/10/2023 0:00,112.28,GOOG
5/9/2023 0:00,107.94,GOOG
5/8/2023 0:00,108.24,GOOG
5/5/2023 0:00,106.215,GOOG
5/4/2023 0:00,105.21,GOOG
5/3/2023 0:00,106.12,GOOG
5/2/2023 0:00,105.98,GOOG
5/1/2023 0:00,107.71,GOOG
4/28/2023 0:00,108.22,GOOG
4/27/2023 0:00,108.37,GOOG
4/26/2023 0:00,104.45,GOOG
4/25/2023 0:00,104.61,GOOG
4/24/2023 0:00,106.78,GOOG
4/21/2023 0:00,105.91,GOOG
4/20/2023 0:00,105.9,GOOG
4/19/2023 0:00,105.02,GOOG
4/18/2023 0:00,105.12,GOOG
4/17/2023 0:00,106.42,GOOG
4/14/2023 0:00,109.46,GOOG
4/13/2023 0:00,108.19,GOOG
4/12/2023 0:00,105.22,GOOG
4/11/2023 0:00,106.12,GOOG
4/4/2023 0:00,105.12,GOOG
4/3/2023 0:00,104.91,GOOG
3/31/2023 0:00,104,GOOG
3/30/2023 0:00,101.32,GOOG
3/29/2023 0:00,101.9,GOOG
3/28/2023 0:00,101.36,GOOG
